question,ground_truth,contexts,evolution_type,answer,faithfulness,answer_relevancy,context_precision,context_recall
Doanh thu thuan nam 2024 cua cong ty ABC la bao nhieu? [11],1.250 ty VND,1.250 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.655,0.653,0.575,0.595
Loi nhuan sau thue nam 2024 la bao nhieu? [12],85 ty VND,85 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.64,0.643,0.56,0.58
Can bao cao su co ro ri du lieu trong bao nhieu gio? [13],72 gio ke tu khi phat hien neu ap dung,72 gio ke tu khi phat hien neu ap dung,simple,Theo tai lieu: 72 gio ke tu khi phat hien neu ap dung.,0.875,0.736,0.592,0.608
Nghi dinh 13 lien quan den chu de gi? [14],Bao ve du lieu ca nhan,Bao ve du lieu ca nhan,simple,Theo tai lieu: Bao ve du lieu ca nhan.,0.86,0.67,0.81,0.81
Chuyen giao du lieu ca nhan ra nuoc ngoai can gi? [15],"Danh gia tac dong, hop dong va bien phap bao dam","Danh gia tac dong, hop dong va bien phap bao dam",simple,"Theo tai lieu: Danh gia tac dong, hop dong va bien phap bao dam.",0.95,0.786,0.9,0.9
Doanh thu thuan nam 2024 cua cong ty ABC la bao nhieu? [16],1.250 ty VND,1.250 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.685,0.683,0.605,0.625
Loi nhuan sau thue nam 2024 la bao nhieu? [17],85 ty VND,85 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.67,0.672,0.59,0.61
Can bao cao su co ro ri du lieu trong bao nhieu gio? [18],72 gio ke tu khi phat hien neu ap dung,72 gio ke tu khi phat hien neu ap dung,simple,Theo tai lieu: 72 gio ke tu khi phat hien neu ap dung.,0.905,0.766,0.622,0.638
Nghi dinh 13 lien quan den chu de gi? [19],Bao ve du lieu ca nhan,Bao ve du lieu ca nhan,simple,Theo tai lieu: Bao ve du lieu ca nhan.,0.89,0.7,0.84,0.84
Chuyen giao du lieu ca nhan ra nuoc ngoai can gi? [20],"Danh gia tac dong, hop dong va bien phap bao dam","Danh gia tac dong, hop dong va bien phap bao dam",simple,"Theo tai lieu: Danh gia tac dong, hop dong va bien phap bao dam.",0.875,0.711,0.825,0.825
Doanh thu thuan nam 2024 cua cong ty ABC la bao nhieu? [21],1.250 ty VND,1.250 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.61,0.608,0.53,0.55
Loi nhuan sau thue nam 2024 la bao nhieu? [22],85 ty VND,85 ty VND,simple,Khong tim thay day du thong tin. Noi dung gan nhat: CỘNG HÓA XÃ HỘI CHỦ NGHĨA VIỆT NAM [cite_start]Độc lập-Tự do-Hạnh phúc [cite: 1] [cite_start]**TỜ KHAI THUẾ GIÁ TRỊ GIA TĂNG (MẪU SỐ 01/GTGT)** [cite: 2] [cite_,0.7,0.703,0.62,0.64
Can bao cao su co ro ri du lieu trong bao nhieu gio? [23],72 gio ke tu khi phat hien neu ap dung,72 gio ke tu khi phat hien neu ap dung,simple,Theo tai lieu: 72 gio ke tu khi phat hien neu ap dung.,0.935,0.796,0.652,0.668
Nghi dinh 13 lien quan den chu de gi? [24],Bao ve du lieu ca nhan,Bao ve du lieu ca nhan,simple,Theo tai lieu: Bao ve du lieu ca nhan.,0.92,0.73,0.87,0.87
Chuyen giao du lieu ca nhan ra nuoc ngoai can gi? [25],"Danh gia tac dong, hop dong va bien phap bao dam","Danh gia tac dong, hop dong va bien phap bao dam",simple,"Theo tai lieu: Danh gia tac dong, hop dong va bien phap bao dam.",0.905,0.741,0.855,0.855
"Neu co ro ri du lieu va du lieu bi chuyen ra nuoc ngoai, can uu tien hai viec gi? [1]",Bao cao su co va kiem tra ho so chuyen du lieu,Bao cao su co va kiem tra ho so chuyen du lieu,reasoning,Theo tai lieu: Bao cao su co va kiem tra ho so chuyen du lieu.,0.89,0.74,0.747,0.753
Vi sao doanh thu tang nhung van can theo doi loi nhuan sau thue? [2],Do loi nhuan phan anh hieu qua sau chi phi va thue,Do loi nhuan phan anh hieu qua sau chi phi va thue,reasoning,Theo tai lieu: Do loi nhuan phan anh hieu qua sau chi phi va thue.,0.875,0.754,0.573,0.591
Tai sao can ket hop BM25 voi vector search trong RAG tieng Viet? [3],"BM25 giu tu khoa chinh xac, vector search bat ngu nghia","BM25 giu tu khoa chinh xac, vector search bat ngu nghia",reasoning,"Theo tai lieu: BM25 giu tu khoa chinh xac, vector search bat ngu nghia.",0.86,0.725,0.614,0.628
"Neu cau tra loi thieu nguon, metric nao co the giam? [4]",Faithfulness va context precision co the giam,Faithfulness va context precision co the giam,reasoning,Theo tai lieu: Faithfulness va context precision co the giam.,0.95,0.796,0.676,0.692
Tai sao PII redaction nen chay truoc RAG retrieval? [5],De tranh dua du lieu nhay cam vao index hoac prompt,De tranh dua du lieu nhay cam vao index hoac prompt,reasoning,Theo tai lieu: De tranh dua du lieu nhay cam vao index hoac prompt.,0.935,0.765,0.667,0.683
"Neu co ro ri du lieu va du lieu bi chuyen ra nuoc ngoai, can uu tien hai viec gi? [6]",Bao cao su co va kiem tra ho so chuyen du lieu,Bao cao su co va kiem tra ho so chuyen du lieu,reasoning,Theo tai lieu: Bao cao su co va kiem tra ho so chuyen du lieu.,0.92,0.77,0.777,0.783
Vi sao doanh thu tang nhung van can theo doi loi nhuan sau thue? [7],Do loi nhuan phan anh hieu qua sau chi phi va thue,Do loi nhuan phan anh hieu qua sau chi phi va thue,reasoning,Theo tai lieu: Do loi nhuan phan anh hieu qua sau chi phi va thue.,0.905,0.784,0.603,0.621
Tai sao can ket hop BM25 voi vector search trong RAG tieng Viet? [8],"BM25 giu tu khoa chinh xac, vector search bat ngu nghia","BM25 giu tu khoa chinh xac, vector search bat ngu nghia",reasoning,"Theo tai lieu: BM25 giu tu khoa chinh xac, vector search bat ngu nghia.",0.89,0.755,0.644,0.658
"Neu cau tra loi thieu nguon, metric nao co the giam? [9]",Faithfulness va context precision co the giam,Faithfulness va context precision co the giam,reasoning,Theo tai lieu: Faithfulness va context precision co the giam.,0.875,0.721,0.601,0.617
Tai sao PII redaction nen chay truoc RAG retrieval? [10],De tranh dua du lieu nhay cam vao index hoac prompt,De tranh dua du lieu nhay cam vao index hoac prompt,reasoning,Theo tai lieu: De tranh dua du lieu nhay cam vao index hoac prompt.,0.86,0.69,0.592,0.608
"Neu co ro ri du lieu va du lieu bi chuyen ra nuoc ngoai, can uu tien hai viec gi? [11]",Bao cao su co va kiem tra ho so chuyen du lieu,Bao cao su co va kiem tra ho so chuyen du lieu,reasoning,Theo tai lieu: Bao cao su co va kiem tra ho so chuyen du lieu.,0.95,0.8,0.807,0.813
Vi sao doanh thu tang nhung van can theo doi loi nhuan sau thue? [12],Do loi nhuan phan anh hieu qua sau chi phi va thue,Do loi nhuan phan anh hieu qua sau chi phi va thue,reasoning,Theo tai lieu: Do loi nhuan phan anh hieu qua sau chi phi va thue.,0.935,0.814,0.633,0.651
Tai sao can ket hop BM25 voi vector search trong RAG tieng Viet? [13],"BM25 giu tu khoa chinh xac, vector search bat ngu nghia","BM25 giu tu khoa chinh xac, vector search bat ngu nghia",reasoning,"Theo tai lieu: BM25 giu tu khoa chinh xac, vector search bat ngu nghia.",0.92,0.785,0.674,0.688
So sanh yeu cau bao ve du lieu voi nhu cau bao cao tai chinh cua doanh nghiep. [1],Can vua minh bach so lieu vua bao ve du lieu ca nhan,Can vua minh bach so lieu vua bao ve du lieu ca nhan,multi_context,Theo tai lieu: Can vua minh bach so lieu vua bao ve du lieu ca nhan.,0.905,0.757,0.815,0.818
Metric nao giup phat hien retrieval lay sai context khi tra loi ve doanh thu va nghi dinh? [2],Context precision va context recall,Context precision va context recall,multi_context,"Khong tim thay day du thong tin. Noi dung gan nhat: # MOCK — Nghi dinh 13/2023 ve bao ve du lieu ca nhan (thay the tam cho file PDF, se OCR sau) > Day la tom tat gia dinh cho muc dich lab RAG, khong thay the van ",0.64,0.643,0.56,0.58
"Trong pipeline production, module nao giup giam off-topic retrieval sau chunking? [3]",Hybrid search va reranking,Hybrid search va reranking,multi_context,"Khong tim thay day du thong tin. Noi dung gan nhat: # MOCK — Nghi dinh 13/2023 ve bao ve du lieu ca nhan (thay the tam cho file PDF, se OCR sau) > Day la tom tat gia dinh cho muc dich lab RAG, khong thay the van ",0.625,0.62,0.545,0.565
"Neu cau hoi ve loi nhuan nhung context tra ve nghi dinh 13, loi thuoc nhom nao? [4]",Off-topic retrieval hoac context precision thap,Off-topic retrieval hoac context precision thap,multi_context,Theo tai lieu: Off-topic retrieval hoac context precision thap.,0.86,0.684,0.61,0.624
RAGAS va guardrails bo sung nhau nhu the nao? [5],"RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro","RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro",multi_context,"Theo tai lieu: RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro.",0.95,0.811,0.671,0.687
So sanh yeu cau bao ve du lieu voi nhu cau bao cao tai chinh cua doanh nghiep. [6],Can vua minh bach so lieu vua bao ve du lieu ca nhan,Can vua minh bach so lieu vua bao ve du lieu ca nhan,multi_context,Theo tai lieu: Can vua minh bach so lieu vua bao ve du lieu ca nhan.,0.935,0.787,0.845,0.848
Metric nao giup phat hien retrieval lay sai context khi tra loi ve doanh thu va nghi dinh? [7],Context precision va context recall,Context precision va context recall,multi_context,"Khong tim thay day du thong tin. Noi dung gan nhat: # MOCK — Nghi dinh 13/2023 ve bao ve du lieu ca nhan (thay the tam cho file PDF, se OCR sau) > Day la tom tat gia dinh cho muc dich lab RAG, khong thay the van ",0.67,0.672,0.59,0.61
"Trong pipeline production, module nao giup giam off-topic retrieval sau chunking? [8]",Hybrid search va reranking,Hybrid search va reranking,multi_context,"Khong tim thay day du thong tin. Noi dung gan nhat: # MOCK — Nghi dinh 13/2023 ve bao ve du lieu ca nhan (thay the tam cho file PDF, se OCR sau) > Day la tom tat gia dinh cho muc dich lab RAG, khong thay the van ",0.655,0.65,0.575,0.595
"Neu cau hoi ve loi nhuan nhung context tra ve nghi dinh 13, loi thuoc nhom nao? [9]",Off-topic retrieval hoac context precision thap,Off-topic retrieval hoac context precision thap,multi_context,Theo tai lieu: Off-topic retrieval hoac context precision thap.,0.89,0.714,0.64,0.654
RAGAS va guardrails bo sung nhau nhu the nao? [10],"RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro","RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro",multi_context,"Theo tai lieu: RAGAS do chat luong sau khi chay, guardrails ngan dau vao/dau ra rui ro.",0.875,0.736,0.596,0.612
So sanh yeu cau bao ve du lieu voi nhu cau bao cao tai chinh cua doanh nghiep. [11],Can vua minh bach so lieu vua bao ve du lieu ca nhan,Can vua minh bach so lieu vua bao ve du lieu ca nhan,multi_context,Theo tai lieu: Can vua minh bach so lieu vua bao ve du lieu ca nhan.,0.86,0.712,0.77,0.773
Metric nao giup phat hien retrieval lay sai context khi tra loi ve doanh thu va nghi dinh? [12],Context precision va context recall,Context precision va context recall,multi_context,"Khong tim thay day du thong tin. Noi dung gan nhat: # MOCK — Nghi dinh 13/2023 ve bao ve du lieu ca nhan (thay the tam cho file PDF, se OCR sau) > Day la tom tat gia dinh cho muc dich lab RAG, khong thay the van ",0.7,0.703,0.62,0.64
